,material,pressure,speed,x1,x2,x3
3,PLA2,18.0,0.04,-1.2781934355123715e-14,-3.4666416694293538e-15,-1.427616408059716e-15
4,PLA5,19.0,0.04,-1.452831532942995e-14,-4.0295097934132505e-16,5.126733757183634e-15
5,PLA5,15.0,0.02,7.222925243481534e-15,1.8946360897224676e-15,-2.7961472183530896e-15
6,PLA2,18.0,0.03,1.7113016683621312e-15,-6.20320153711889e-15,1.1991164757816202e-16
7,PLA2,18.0,0.05,-9.132266345300032e-14,2.9424308780781082e-15,-1.7242866408595025e-15
8,PLA2,15.0,0.05,-8.934365408609423e-16,8.724619330204972e-16,8.456488728161505e-16
9,PLA1,17.0,0.02,-3.358430562344027e-16,1.6926844535069156e-15,5.626563062793488e-16
10,PLA2,17.0,0.01,-3.842009987264276e-15,1.755688045618786e-15,1.0795264475888907e-15
11,PLA5,18.0,0.01,1.8128842991613002e-14,2.790220479237361e-15,5.073063366560092e-16
12,PLA2,16.0,0.01,9.607030085774617e-15,-2.6269433464283025e-16,2.7529298818066443e-16
13,PLA1,16.0,0.02,3.453298760128561e-14,-2.102172485568821e-15,-6.803884339678106e-16
14,PLA5,19.0,0.05,1.7929796578861537e-13,1.9187167976359495e-15,-4.030482165600005e-16
15,PLA1,15.0,0.02,2.6675691681411476e-14,-3.768825386848709e-16,-1.6595007536932412e-16
16,PLA1,19.0,0.02,-8.80714227929528e-16,-2.9699627952943237e-15,9.22378908455714e-16
17,PLA5,16.0,0.03,-7.087028512969312e-17,2.8196333205816404e-15,-4.069680835520369e-15
18,PLA2,15.0,0.04,4.245802215594937e-15,1.3441087864387548e-15,8.659975051849239e-16
19,PLA5,16.0,0.04,-1.0970422640478167e-14,-9.773234053512392e-16,2.8613830924208514e-15
20,PLA2,17.0,0.04,8.825447674660973e-15,3.799778072677654e-15,5.842825705187222e-16
21,PLA1,16.0,0.04,-9.514565654913709e-15,-1.7321975642811103e-14,-1.4671193206330806e-14
22,PLA5,17.0,0.02,3.6043563381136026e-17,2.185400600241822e-15,2.5576587992842948e-16
23,PLA2,15.0,0.02,3.7334976047170065e-15,6.032436628284041e-16,-3.708650126838956e-16
24,PLA1,18.0,0.02,2.417119959353434e-15,5.6747177385986884e-15,6.211379971610123e-16
25,PLA2,18.0,0.01,-6.120631531274037e-16,-1.4276071787217251e-15,-7.835514830544742e-17
26,PLA5,15.0,0.04,2.8976474542455584e-15,1.5263088392717427e-15,1.0870694775047945e-15
27,PLA2,17.0,0.03,1.0377490761039756e-14,1.9078590711985e-15,5.868783405983377e-16
28,PLA5,18.0,0.03,-9.75764457963146e-16,-1.4827627387172435e-15,-1.1033701843385362e-15
29,PLA5,19.0,0.01,1.6286574625195407e-14,3.704313083361861e-15,2.145489025886409e-15
30,PLA1,15.0,0.01,2.43527644008816e-14,1.6798291754533464e-15,-1.54454879413684e-17
31,PLA5,18.0,0.05,1.0860798331675004e-13,2.7809438570470837e-15,-2.4006057329325993e-16
32,PLA1,16.0,0.03,3.555603903995181e-15,-5.922104209495896e-16,5.898045439214755e-16
33,PLA1,18.0,0.01,-1.0987473684706752e-15,6.2410244808771295e-15,1.049276629829443e-15
34,PLA2,16.0,0.02,6.1124572901708164e-15,-3.8081423998609166e-17,-7.182493065958169e-17
35,PLA1,18.0,0.03,-1.58713832354315e-16,1.2025037615692243e-14,-2.0633153130010602e-15
36,PLA2,15.0,0.01,-4.1827238668847143e-16,3.7385201041909047e-16,-2.0034769271290065e-17
37,PLA1,17.0,0.05,1.4193092094193626e-13,-1.6242485795926977e-15,-1.2913335864683192e-15
38,PLA2,16.0,0.04,-1.1575768875919452e-15,-3.1770861800673796e-16,8.306737539790302e-17
39,PLA5,18.0,0.04,-1.586457014601964e-15,-1.0682193137138309e-15,-2.9138250341867833e-16
40,PLA1,19.0,0.01,3.281788285738267e-14,-6.558937639607839e-15,5.03515049675257e-15
41,PLA5,16.0,0.05,5.859043609411185e-14,6.712301692950461e-15,2.100219019533437e-15
42,PLA1,17.0,0.03,6.302135161844031e-15,5.238452650841302e-15,3.7947092927295883e-16
43,PLA5,15.0,0.01,4.563145454701175e-15,-1.8239355374281034e-15,2.571450211317523e-15
44,PLA1,15.0,0.05,1.1040969033928533e-13,3.2524761695260656e-15,-2.1127625805840982e-15
45,PLA1,17.0,0.04,-6.133766390923529e-15,-2.1712976428944514e-15,-3.784368467290569e-15
46,PLA5,19.0,0.02,1.3955104410545877e-14,1.4368576142092062e-17,3.5343935883702595e-16
47,PLA1,19.0,0.05,-5.0390821355519514e-14,-1.564500153703099e-17,3.047870283995069e-15
48,PLA1,16.0,0.05,8.86815441741597e-14,-1.8946248308042134e-17,-3.5683148444816286e-16
49,PLA2,15.0,0.03,4.653548728721242e-15,-3.6005718433401985e-15,-2.6406517675315264e-16
50,PLA2,19.0,0.05,8.293794173387227e-14,-6.406094348114573e-16,-1.6653735774110384e-15
51,PLA1,15.0,0.03,3.932592920467317e-15,-7.654781093477498e-16,1.7611654822526592e-16
52,PLA1,17.0,0.01,1.8680071787714238e-14,-6.555578290203787e-15,1.5769843857951336e-15
53,PLA1,15.0,0.04,1.971968075602242e-14,1.0946249057405427e-14,1.1989322611219662e-15
54,PLA1,16.0,0.01,9.29126243200462e-15,1.3493994766671803e-15,7.897085602788622e-16
55,PLA5,16.0,0.02,-5.617574979554249e-15,1.2818545186472894e-15,-3.241332118446963e-16
56,PLA2,18.0,0.02,1.0573449511370937e-15,-3.929913676221235e-16,1.2878646074666206e-16
57,PLA2,19.0,0.02,-2.5504718283492887e-15,9.798463861130319e-17,-3.0113558120374406e-16
58,PLA5,17.0,0.03,3.07473157912379e-14,8.147708069919459e-17,-1.5160608275923974e-16
59,PLA5,16.0,0.01,4.552068679114099e-15,1.6860172831135394e-15,-7.135784558689025e-16
60,PLA1,18.0,0.04,3.284883645445902e-14,-9.258576394433216e-15,-3.7999092352301115e-15
61,PLA1,19.0,0.03,1.5983286109773984e-14,-1.827254020633174e-15,1.1475285636974484e-15
62,PLA5,19.0,0.03,2.9757629896863117e-15,2.758810365843517e-16,-4.889924303686698e-16
63,PLA1,18.0,0.05,6.166242135979469e-14,-2.7326505590022265e-15,-2.1047429311940418e-15
64,PLA5,17.0,0.05,-2.91803251123256e-14,1.5812239152208386e-15,2.611100791744065e-15
65,PLA5,17.0,0.01,-1.3841646745209121e-14,-7.260280044495197e-15,2.016862167987982e-15
66,PLA1,19.0,0.04,-2.0953710438080713e-14,-7.719198593405953e-15,1.1150890883888854e-15
67,PLA2,19.0,0.03,9.84359434786508e-15,-2.1321388027723423e-16,-4.697347326194891e-16
68,PLA2,17.0,0.02,-4.863994303449886e-15,-3.4275380279777384e-16,-2.7303816425471324e-16
69,PLA5,18.0,0.02,8.968515788746448e-16,-9.581231355965052e-16,3.0708216856012626e-16
70,PLA2,19.0,0.04,1.5745186087169586e-14,-2.680098377552724e-16,-4.547763755511335e-16
71,PLA5,15.0,0.03,-4.497777360815178e-15,-8.52853998023573e-16,-9.383537828846413e-16
72,PLA2,19.0,0.01,-6.459944440262831e-15,-3.715650568391259e-17,-3.1167114465433612e-16
73,PLA5,15.0,0.05,1.0370581814984345e-13,8.081388261998383e-15,2.654168470914307e-15
74,PLA2,17.0,0.05,4.778722447720209e-14,2.1816793078336954e-15,-9.617669543881689e-15
